"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,938,5,983,2021-04-03
"20 - 24",9,313,1,323,2021-04-03
"25 - 29",20,539,2,561,2021-04-03
"30 - 34",23,764,7,794,2021-04-03
"35 - 39",26,888,9,923,2021-04-03
"40 - 44",45,1172,10,1227,2021-04-03
"45 - 49",77,1960,21,2058,2021-04-03
"50 - 54",126,3119,63,3308,2021-04-03
"55 - 59",148,3888,97,4133,2021-04-03
"60 - 64",178,4194,196,4568,2021-04-03
"65 - 69",197,3996,412,4605,2021-04-03
"70 - 74",240,4971,867,6078,2021-04-03
"75 - 79",249,4749,1448,6446,2021-04-03
"80 - 84",159,4026,1737,5922,2021-04-03
"85 - 89",77,2529,1336,3942,2021-04-03
">90",31,1085,553,1669,2021-04-03
