"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",52,709,3,764,2020-12-31
"20 - 24",9,221,0,230,2020-12-31
"25 - 29",16,382,3,401,2020-12-31
"30 - 34",18,510,3,531,2020-12-31
"35 - 39",34,596,9,639,2020-12-31
"40 - 44",39,778,4,821,2020-12-31
"45 - 49",68,1274,19,1361,2020-12-31
"50 - 54",123,1995,45,2163,2020-12-31
"55 - 59",149,2432,60,2641,2020-12-31
"60 - 64",201,2641,123,2965,2020-12-31
"65 - 69",202,2613,251,3066,2020-12-31
"70 - 74",330,3147,531,4008,2020-12-31
"75 - 79",363,3054,898,4315,2020-12-31
"80 - 84",352,2536,1098,3986,2020-12-31
"85 - 89",220,1621,870,2711,2020-12-31
">90",85,698,327,1110,2020-12-31
