"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",24,911,4,939,2021-03-26
"20 - 24",4,303,1,308,2021-03-26
"25 - 29",17,518,2,537,2021-03-26
"30 - 34",24,736,6,766,2021-03-26
"35 - 39",30,846,8,884,2021-03-26
"40 - 44",47,1122,10,1179,2021-03-26
"45 - 49",79,1868,21,1968,2021-03-26
"50 - 54",131,2978,60,3169,2021-03-26
"55 - 59",151,3721,95,3967,2021-03-26
"60 - 64",173,4017,190,4380,2021-03-26
"65 - 69",167,3872,403,4442,2021-03-26
"70 - 74",218,4776,838,5832,2021-03-26
"75 - 79",239,4606,1397,6242,2021-03-26
"80 - 84",181,3930,1689,5800,2021-03-26
"85 - 89",92,2474,1315,3881,2021-03-26
">90",43,1056,540,1639,2021-03-26
