"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",23,1286,6,1315,2021-07-09
"20 - 24",4,428,3,435,2021-07-09
"25 - 29",6,729,2,737,2021-07-09
"30 - 34",3,1083,10,1096,2021-07-09
"35 - 39",3,1278,11,1292,2021-07-09
"40 - 44",9,1628,12,1649,2021-07-09
"45 - 49",7,2773,25,2805,2021-07-09
"50 - 54",28,4339,73,4440,2021-07-09
"55 - 59",17,5335,128,5480,2021-07-09
"60 - 64",15,5338,240,5593,2021-07-09
"65 - 69",18,5294,502,5814,2021-07-09
"70 - 74",20,6251,1056,7327,2021-07-09
"75 - 79",16,5852,1724,7592,2021-07-09
"80 - 84",20,4554,1959,6533,2021-07-09
"85 - 89",12,2789,1444,4245,2021-07-09
">90",5,1220,603,1828,2021-07-09
