"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,891,4,923,2021-03-19
"20 - 24",5,290,1,296,2021-03-19
"25 - 29",17,499,2,518,2021-03-19
"30 - 34",21,712,6,739,2021-03-19
"35 - 39",30,812,8,850,2021-03-19
"40 - 44",46,1077,8,1131,2021-03-19
"45 - 49",62,1796,21,1879,2021-03-19
"50 - 54",114,2873,58,3045,2021-03-19
"55 - 59",129,3591,94,3814,2021-03-19
"60 - 64",151,3891,185,4227,2021-03-19
"65 - 69",167,3757,394,4318,2021-03-19
"70 - 74",222,4648,811,5681,2021-03-19
"75 - 79",207,4502,1354,6063,2021-03-19
"80 - 84",185,3847,1658,5690,2021-03-19
"85 - 89",93,2434,1299,3826,2021-03-19
">90",36,1045,529,1610,2021-03-19
