"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1124,6,1167,2021-05-13
"20 - 24",11,373,1,385,2021-05-13
"25 - 29",15,654,2,671,2021-05-13
"30 - 34",32,974,10,1016,2021-05-13
"35 - 39",29,1136,10,1175,2021-05-13
"40 - 44",33,1469,11,1513,2021-05-13
"45 - 49",84,2464,24,2572,2021-05-13
"50 - 54",130,3860,70,4060,2021-05-13
"55 - 59",167,4819,121,5107,2021-05-13
"60 - 64",142,4974,219,5335,2021-05-13
"65 - 69",176,4879,476,5531,2021-05-13
"70 - 74",224,5869,992,7085,2021-05-13
"75 - 79",190,5554,1661,7405,2021-05-13
"80 - 84",126,4376,1887,6389,2021-05-13
"85 - 89",59,2682,1417,4158,2021-05-13
">90",24,1163,589,1776,2021-05-13
