"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",25,893,4,922,2021-03-20
"20 - 24",6,293,1,300,2021-03-20
"25 - 29",13,500,2,515,2021-03-20
"30 - 34",20,713,6,739,2021-03-20
"35 - 39",28,814,8,850,2021-03-20
"40 - 44",50,1080,8,1138,2021-03-20
"45 - 49",69,1799,21,1889,2021-03-20
"50 - 54",101,2891,58,3050,2021-03-20
"55 - 59",123,3603,94,3820,2021-03-20
"60 - 64",144,3906,187,4237,2021-03-20
"65 - 69",182,3768,394,4344,2021-03-20
"70 - 74",211,4666,812,5689,2021-03-20
"75 - 79",219,4511,1360,6090,2021-03-20
"80 - 84",177,3855,1662,5694,2021-03-20
"85 - 89",86,2439,1299,3824,2021-03-20
">90",38,1048,529,1615,2021-03-20
