"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",27,883,4,914,2021-03-17
"20 - 24",5,291,1,297,2021-03-17
"25 - 29",22,489,2,513,2021-03-17
"30 - 34",20,700,5,725,2021-03-17
"35 - 39",29,802,8,839,2021-03-17
"40 - 44",32,1071,8,1111,2021-03-17
"45 - 49",52,1781,21,1854,2021-03-17
"50 - 54",100,2840,58,2998,2021-03-17
"55 - 59",115,3561,93,3769,2021-03-17
"60 - 64",142,3856,185,4183,2021-03-17
"65 - 69",168,3715,390,4273,2021-03-17
"70 - 74",220,4600,803,5623,2021-03-17
"75 - 79",198,4458,1346,6002,2021-03-17
"80 - 84",191,3810,1648,5649,2021-03-17
"85 - 89",98,2405,1297,3800,2021-03-17
">90",41,1038,524,1603,2021-03-17
