"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",21,809,4,834,2021-01-30
"20 - 24",6,254,0,260,2021-01-30
"25 - 29",9,437,3,449,2021-01-30
"30 - 34",10,586,3,599,2021-01-30
"35 - 39",21,681,9,711,2021-01-30
"40 - 44",29,890,9,928,2021-01-30
"45 - 49",49,1481,19,1549,2021-01-30
"50 - 54",86,2366,50,2502,2021-01-30
"55 - 59",111,2924,70,3105,2021-01-30
"60 - 64",163,3205,147,3515,2021-01-30
"65 - 69",173,3121,315,3609,2021-01-30
"70 - 74",238,3854,660,4752,2021-01-30
"75 - 79",262,3724,1099,5085,2021-01-30
"80 - 84",241,3154,1380,4775,2021-01-30
"85 - 89",153,2000,1072,3225,2021-01-30
">90",63,856,424,1343,2021-01-30
