"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",25,1283,6,1314,2021-07-08
"20 - 24",2,428,3,433,2021-07-08
"25 - 29",5,728,2,735,2021-07-08
"30 - 34",3,1083,10,1096,2021-07-08
"35 - 39",3,1278,11,1292,2021-07-08
"40 - 44",10,1627,12,1649,2021-07-08
"45 - 49",8,2772,25,2805,2021-07-08
"50 - 54",27,4339,73,4439,2021-07-08
"55 - 59",16,5334,128,5478,2021-07-08
"60 - 64",15,5338,240,5593,2021-07-08
"65 - 69",20,5291,502,5813,2021-07-08
"70 - 74",24,6250,1056,7330,2021-07-08
"75 - 79",17,5852,1724,7593,2021-07-08
"80 - 84",16,4554,1959,6529,2021-07-08
"85 - 89",12,2787,1444,4243,2021-07-08
">90",5,1220,603,1828,2021-07-08
