"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,966,5,1012,2021-04-09
"20 - 24",6,323,1,330,2021-04-09
"25 - 29",13,557,2,572,2021-04-09
"30 - 34",30,795,7,832,2021-04-09
"35 - 39",39,917,9,965,2021-04-09
"40 - 44",41,1216,10,1267,2021-04-09
"45 - 49",74,2017,24,2115,2021-04-09
"50 - 54",113,3231,63,3407,2021-04-09
"55 - 59",146,3999,104,4249,2021-04-09
"60 - 64",169,4324,205,4698,2021-04-09
"65 - 69",207,4105,422,4734,2021-04-09
"70 - 74",245,5108,880,6233,2021-04-09
"75 - 79",242,4872,1491,6605,2021-04-09
"80 - 84",165,4091,1760,6016,2021-04-09
"85 - 89",72,2550,1358,3980,2021-04-09
">90",33,1100,559,1692,2021-04-09
