"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,903,4,940,2021-03-24
"20 - 24",8,297,1,306,2021-03-24
"25 - 29",19,510,2,531,2021-03-24
"30 - 34",21,728,6,755,2021-03-24
"35 - 39",37,829,8,874,2021-03-24
"40 - 44",55,1102,10,1167,2021-03-24
"45 - 49",81,1840,21,1942,2021-03-24
"50 - 54",123,2945,59,3127,2021-03-24
"55 - 59",141,3676,95,3912,2021-03-24
"60 - 64",168,3967,190,4325,2021-03-24
"65 - 69",159,3839,402,4400,2021-03-24
"70 - 74",227,4737,832,5796,2021-03-24
"75 - 79",242,4574,1382,6198,2021-03-24
"80 - 84",174,3905,1678,5757,2021-03-24
"85 - 89",96,2458,1310,3864,2021-03-24
">90",43,1052,535,1630,2021-03-24
