"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,957,5,1003,2021-04-06
"20 - 24",7,317,1,325,2021-04-06
"25 - 29",16,549,2,567,2021-04-06
"30 - 34",33,773,7,813,2021-04-06
"35 - 39",31,904,9,944,2021-04-06
"40 - 44",44,1190,10,1244,2021-04-06
"45 - 49",82,1987,21,2090,2021-04-06
"50 - 54",126,3173,63,3362,2021-04-06
"55 - 59",148,3926,101,4175,2021-04-06
"60 - 64",172,4252,200,4624,2021-04-06
"65 - 69",208,4038,417,4663,2021-04-06
"70 - 74",250,5015,875,6140,2021-04-06
"75 - 79",258,4796,1472,6526,2021-04-06
"80 - 84",187,4048,1750,5985,2021-04-06
"85 - 89",82,2534,1348,3964,2021-04-06
">90",30,1092,557,1679,2021-04-06
