"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1065,5,1103,2021-05-01
"20 - 24",8,356,1,365,2021-05-01
"25 - 29",16,621,2,639,2021-05-01
"30 - 34",31,900,9,940,2021-05-01
"35 - 39",47,1043,9,1099,2021-05-01
"40 - 44",43,1377,11,1431,2021-05-01
"45 - 49",97,2305,24,2426,2021-05-01
"50 - 54",150,3614,67,3831,2021-05-01
"55 - 59",162,4518,114,4794,2021-05-01
"60 - 64",187,4715,215,5117,2021-05-01
"65 - 69",256,4585,452,5293,2021-05-01
"70 - 74",251,5624,961,6836,2021-05-01
"75 - 79",253,5326,1610,7189,2021-05-01
"80 - 84",120,4296,1849,6265,2021-05-01
"85 - 89",61,2644,1398,4103,2021-05-01
">90",32,1140,576,1748,2021-05-01
