"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",27,768,4,799,2021-01-18
"20 - 24",6,243,0,249,2021-01-18
"25 - 29",15,416,3,434,2021-01-18
"30 - 34",22,553,3,578,2021-01-18
"35 - 39",23,653,9,685,2021-01-18
"40 - 44",29,853,7,889,2021-01-18
"45 - 49",53,1411,19,1483,2021-01-18
"50 - 54",96,2243,49,2388,2021-01-18
"55 - 59",108,2753,68,2929,2021-01-18
"60 - 64",171,2986,140,3297,2021-01-18
"65 - 69",170,2952,290,3412,2021-01-18
"70 - 74",290,3575,610,4475,2021-01-18
"75 - 79",270,3498,1032,4800,2021-01-18
"80 - 84",293,2928,1279,4500,2021-01-18
"85 - 89",151,1867,1009,3027,2021-01-18
">90",87,788,385,1260,2021-01-18
