"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,928,5,972,2021-04-01
"20 - 24",8,311,1,320,2021-04-01
"25 - 29",19,535,2,556,2021-04-01
"30 - 34",24,756,6,786,2021-04-01
"35 - 39",26,880,9,915,2021-04-01
"40 - 44",41,1165,10,1216,2021-04-01
"45 - 49",85,1929,21,2035,2021-04-01
"50 - 54",135,3079,63,3277,2021-04-01
"55 - 59",144,3851,96,4091,2021-04-01
"60 - 64",186,4156,195,4537,2021-04-01
"65 - 69",195,3965,410,4570,2021-04-01
"70 - 74",266,4924,857,6047,2021-04-01
"75 - 79",260,4719,1436,6415,2021-04-01
"80 - 84",177,4002,1723,5902,2021-04-01
"85 - 89",95,2513,1327,3935,2021-04-01
">90",44,1076,549,1669,2021-04-01
