"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1069,5,1114,2021-05-02
"20 - 24",8,356,1,365,2021-05-02
"25 - 29",17,623,2,642,2021-05-02
"30 - 34",34,902,9,945,2021-05-02
"35 - 39",45,1049,9,1103,2021-05-02
"40 - 44",42,1385,11,1438,2021-05-02
"45 - 49",89,2320,24,2433,2021-05-02
"50 - 54",147,3630,67,3844,2021-05-02
"55 - 59",168,4527,114,4809,2021-05-02
"60 - 64",185,4725,215,5125,2021-05-02
"65 - 69",239,4606,454,5299,2021-05-02
"70 - 74",251,5634,966,6851,2021-05-02
"75 - 79",250,5337,1613,7200,2021-05-02
"80 - 84",129,4299,1850,6278,2021-05-02
"85 - 89",66,2645,1398,4109,2021-05-02
">90",32,1142,576,1750,2021-05-02
