"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",22,827,4,853,2021-03-05
"20 - 24",7,281,0,288,2021-03-05
"25 - 29",14,478,2,494,2021-03-05
"30 - 34",25,656,5,686,2021-03-05
"35 - 39",28,764,8,800,2021-03-05
"40 - 44",34,1023,8,1065,2021-03-05
"45 - 49",46,1691,21,1758,2021-03-05
"50 - 54",88,2716,57,2861,2021-03-05
"55 - 59",115,3387,86,3588,2021-03-05
"60 - 64",128,3684,180,3992,2021-03-05
"65 - 69",146,3556,378,4080,2021-03-05
"70 - 74",198,4417,774,5389,2021-03-05
"75 - 79",213,4267,1287,5767,2021-03-05
"80 - 84",176,3675,1599,5450,2021-03-05
"85 - 89",96,2321,1265,3682,2021-03-05
">90",41,1005,511,1557,2021-03-05
