"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",23,781,4,808,2021-01-20
"20 - 24",7,244,0,251,2021-01-20
"25 - 29",12,420,3,435,2021-01-20
"30 - 34",15,562,3,580,2021-01-20
"35 - 39",18,656,9,683,2021-01-20
"40 - 44",30,857,9,896,2021-01-20
"45 - 49",47,1428,19,1494,2021-01-20
"50 - 54",89,2275,49,2413,2021-01-20
"55 - 59",124,2788,68,2980,2021-01-20
"60 - 64",154,3033,140,3327,2021-01-20
"65 - 69",175,2992,292,3459,2021-01-20
"70 - 74",272,3645,622,4539,2021-01-20
"75 - 79",279,3542,1051,4872,2021-01-20
"80 - 84",275,2985,1305,4565,2021-01-20
"85 - 89",162,1897,1015,3074,2021-01-20
">90",82,808,396,1286,2021-01-20
