"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,1139,6,1187,2021-05-17
"20 - 24",13,378,1,392,2021-05-17
"25 - 29",14,662,2,678,2021-05-17
"30 - 34",25,991,10,1026,2021-05-17
"35 - 39",36,1150,10,1196,2021-05-17
"40 - 44",31,1486,11,1528,2021-05-17
"45 - 49",83,2509,24,2616,2021-05-17
"50 - 54",142,3926,70,4138,2021-05-17
"55 - 59",167,4884,122,5173,2021-05-17
"60 - 64",127,5035,221,5383,2021-05-17
"65 - 69",173,4950,477,5600,2021-05-17
"70 - 74",196,5944,1001,7141,2021-05-17
"75 - 79",191,5594,1674,7459,2021-05-17
"80 - 84",117,4399,1895,6411,2021-05-17
"85 - 89",56,2696,1419,4171,2021-05-17
">90",34,1171,589,1794,2021-05-17
