"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,763,4,797,2021-01-15
"20 - 24",5,239,0,244,2021-01-15
"25 - 29",19,408,3,430,2021-01-15
"30 - 34",22,548,3,573,2021-01-15
"35 - 39",23,650,9,682,2021-01-15
"40 - 44",26,845,6,877,2021-01-15
"45 - 49",53,1389,19,1461,2021-01-15
"50 - 54",99,2201,49,2349,2021-01-15
"55 - 59",104,2705,67,2876,2021-01-15
"60 - 64",161,2949,136,3246,2021-01-15
"65 - 69",170,2922,284,3376,2021-01-15
"70 - 74",270,3533,605,4408,2021-01-15
"75 - 79",283,3446,1010,4739,2021-01-15
"80 - 84",289,2874,1247,4410,2021-01-15
"85 - 89",156,1837,988,2981,2021-01-15
">90",93,775,376,1244,2021-01-15
