"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,1218,6,1253,2021-06-04
"20 - 24",4,412,3,419,2021-06-04
"25 - 29",15,699,2,716,2021-06-04
"30 - 34",15,1047,11,1073,2021-06-04
"35 - 39",24,1223,11,1258,2021-06-04
"40 - 44",27,1565,12,1604,2021-06-04
"45 - 49",46,2678,25,2749,2021-06-04
"50 - 54",75,4219,72,4366,2021-06-04
"55 - 59",91,5189,127,5407,2021-06-04
"60 - 64",62,5248,238,5548,2021-06-04
"65 - 69",75,5209,494,5778,2021-06-04
"70 - 74",94,6169,1040,7303,2021-06-04
"75 - 79",82,5776,1706,7564,2021-06-04
"80 - 84",81,4499,1933,6513,2021-06-04
"85 - 89",38,2751,1434,4223,2021-06-04
">90",20,1208,597,1825,2021-06-04
