"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",17,822,4,843,2021-03-02
"20 - 24",8,277,0,285,2021-03-02
"25 - 29",18,475,2,495,2021-03-02
"30 - 34",28,646,5,679,2021-03-02
"35 - 39",25,752,8,785,2021-03-02
"40 - 44",36,1013,8,1057,2021-03-02
"45 - 49",57,1664,21,1742,2021-03-02
"50 - 54",79,2672,57,2808,2021-03-02
"55 - 59",114,3346,85,3545,2021-03-02
"60 - 64",129,3647,177,3953,2021-03-02
"65 - 69",149,3520,374,4043,2021-03-02
"70 - 74",216,4355,768,5339,2021-03-02
"75 - 79",201,4234,1274,5709,2021-03-02
"80 - 84",191,3628,1580,5399,2021-03-02
"85 - 89",104,2296,1253,3653,2021-03-02
">90",47,993,510,1550,2021-03-02
