"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",23,781,4,808,2021-01-21
"20 - 24",6,246,0,252,2021-01-21
"25 - 29",16,421,3,440,2021-01-21
"30 - 34",13,565,3,581,2021-01-21
"35 - 39",24,657,9,690,2021-01-21
"40 - 44",29,859,9,897,2021-01-21
"45 - 49",48,1436,19,1503,2021-01-21
"50 - 54",96,2283,49,2428,2021-01-21
"55 - 59",122,2797,68,2987,2021-01-21
"60 - 64",168,3046,140,3354,2021-01-21
"65 - 69",177,3002,293,3472,2021-01-21
"70 - 74",281,3669,626,4576,2021-01-21
"75 - 79",272,3570,1055,4897,2021-01-21
"80 - 84",258,3009,1314,4581,2021-01-21
"85 - 89",159,1906,1024,3089,2021-01-21
">90",77,814,401,1292,2021-01-21
