"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",50,701,3,754,2020-12-28
"20 - 24",9,213,0,222,2020-12-28
"25 - 29",11,377,3,391,2020-12-28
"30 - 34",16,497,3,516,2020-12-28
"35 - 39",28,587,9,624,2020-12-28
"40 - 44",37,758,4,799,2020-12-28
"45 - 49",68,1242,18,1328,2020-12-28
"50 - 54",132,1938,44,2114,2020-12-28
"55 - 59",164,2359,60,2583,2020-12-28
"60 - 64",203,2577,116,2896,2020-12-28
"65 - 69",220,2535,242,2997,2020-12-28
"70 - 74",343,3053,512,3908,2020-12-28
"75 - 79",395,2982,866,4243,2020-12-28
"80 - 84",351,2442,1076,3869,2020-12-28
"85 - 89",227,1573,848,2648,2020-12-28
">90",87,675,316,1078,2020-12-28
