"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",26,840,4,870,2021-03-09
"20 - 24",6,284,1,291,2021-03-09
"25 - 29",13,481,2,496,2021-03-09
"30 - 34",23,672,5,700,2021-03-09
"35 - 39",33,772,8,813,2021-03-09
"40 - 44",34,1037,8,1079,2021-03-09
"45 - 49",56,1717,21,1794,2021-03-09
"50 - 54",86,2749,57,2892,2021-03-09
"55 - 59",119,3434,89,3642,2021-03-09
"60 - 64",131,3732,181,4044,2021-03-09
"65 - 69",133,3605,383,4121,2021-03-09
"70 - 74",222,4468,782,5472,2021-03-09
"75 - 79",223,4322,1306,5851,2021-03-09
"80 - 84",187,3714,1614,5515,2021-03-09
"85 - 89",104,2352,1271,3727,2021-03-09
">90",40,1013,517,1570,2021-03-09
