"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1160,6,1200,2021-05-23
"20 - 24",8,398,2,408,2021-05-23
"25 - 29",17,674,2,693,2021-05-23
"30 - 34",19,1011,10,1040,2021-05-23
"35 - 39",24,1183,10,1217,2021-05-23
"40 - 44",31,1518,11,1560,2021-05-23
"45 - 49",74,2574,24,2672,2021-05-23
"50 - 54",108,4050,71,4229,2021-05-23
"55 - 59",124,5017,125,5266,2021-05-23
"60 - 64",103,5115,227,5445,2021-05-23
"65 - 69",128,5071,483,5682,2021-05-23
"70 - 74",156,6037,1020,7213,2021-05-23
"75 - 79",147,5663,1687,7497,2021-05-23
"80 - 84",89,4436,1909,6434,2021-05-23
"85 - 89",42,2718,1425,4185,2021-05-23
">90",20,1185,594,1799,2021-05-23
