"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",21,778,4,803,2021-02-16
"20 - 24",11,259,0,270,2021-02-16
"25 - 29",12,455,2,469,2021-02-16
"30 - 34",16,616,4,636,2021-02-16
"35 - 39",17,722,8,747,2021-02-16
"40 - 44",34,935,8,977,2021-02-16
"45 - 49",56,1570,20,1646,2021-02-16
"50 - 54",89,2520,54,2663,2021-02-16
"55 - 59",98,3149,79,3326,2021-02-16
"60 - 64",143,3446,162,3751,2021-02-16
"65 - 69",140,3347,342,3829,2021-02-16
"70 - 74",229,4111,719,5059,2021-02-16
"75 - 79",247,4005,1193,5445,2021-02-16
"80 - 84",203,3391,1485,5079,2021-02-16
"85 - 89",138,2159,1166,3463,2021-02-16
">90",65,932,478,1475,2021-02-16
