"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",19,807,4,830,2021-01-29
"20 - 24",6,252,0,258,2021-01-29
"25 - 29",12,435,3,450,2021-01-29
"30 - 34",15,582,3,600,2021-01-29
"35 - 39",23,679,9,711,2021-01-29
"40 - 44",24,888,9,921,2021-01-29
"45 - 49",46,1478,19,1543,2021-01-29
"50 - 54",87,2358,50,2495,2021-01-29
"55 - 59",116,2909,70,3095,2021-01-29
"60 - 64",157,3190,146,3493,2021-01-29
"65 - 69",181,3108,313,3602,2021-01-29
"70 - 74",237,3842,657,4736,2021-01-29
"75 - 79",246,3713,1096,5055,2021-01-29
"80 - 84",246,3140,1377,4763,2021-01-29
"85 - 89",154,1989,1072,3215,2021-01-29
">90",71,852,423,1346,2021-01-29
