"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",22,758,4,784,2021-02-07
"20 - 24",3,253,0,256,2021-02-07
"25 - 29",11,445,2,458,2021-02-07
"30 - 34",18,594,3,615,2021-02-07
"35 - 39",28,693,8,729,2021-02-07
"40 - 44",20,911,8,939,2021-02-07
"45 - 49",48,1514,20,1582,2021-02-07
"50 - 54",87,2432,50,2569,2021-02-07
"55 - 59",122,3003,75,3200,2021-02-07
"60 - 64",137,3318,156,3611,2021-02-07
"65 - 69",155,3204,329,3688,2021-02-07
"70 - 74",205,3969,681,4855,2021-02-07
"75 - 79",269,3831,1139,5239,2021-02-07
"80 - 84",216,3252,1428,4896,2021-02-07
"85 - 89",130,2071,1117,3318,2021-02-07
">90",69,885,449,1403,2021-02-07
