"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",14,793,4,811,2021-02-20
"20 - 24",6,268,0,274,2021-02-20
"25 - 29",9,461,2,472,2021-02-20
"30 - 34",20,622,4,646,2021-02-20
"35 - 39",18,727,8,753,2021-02-20
"40 - 44",25,957,8,990,2021-02-20
"45 - 49",56,1591,20,1667,2021-02-20
"50 - 54",83,2561,55,2699,2021-02-20
"55 - 59",97,3195,80,3372,2021-02-20
"60 - 64",124,3507,166,3797,2021-02-20
"65 - 69",136,3390,347,3873,2021-02-20
"70 - 74",204,4184,731,5119,2021-02-20
"75 - 79",221,4078,1213,5512,2021-02-20
"80 - 84",206,3461,1508,5175,2021-02-20
"85 - 89",135,2190,1188,3513,2021-02-20
">90",54,950,485,1489,2021-02-20
