"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",24,772,4,800,2021-01-19
"20 - 24",8,243,0,251,2021-01-19
"25 - 29",10,420,3,433,2021-01-19
"30 - 34",20,559,3,582,2021-01-19
"35 - 39",20,655,9,684,2021-01-19
"40 - 44",23,855,9,887,2021-01-19
"45 - 49",49,1421,19,1489,2021-01-19
"50 - 54",98,2257,49,2404,2021-01-19
"55 - 59",117,2765,68,2950,2021-01-19
"60 - 64",158,3010,140,3308,2021-01-19
"65 - 69",173,2967,290,3430,2021-01-19
"70 - 74",275,3613,617,4505,2021-01-19
"75 - 79",288,3512,1040,4840,2021-01-19
"80 - 84",288,2950,1288,4526,2021-01-19
"85 - 89",163,1879,1013,3055,2021-01-19
">90",84,799,389,1272,2021-01-19
