"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,862,4,897,2021-03-13
"20 - 24",6,286,1,293,2021-03-13
"25 - 29",15,483,2,500,2021-03-13
"30 - 34",25,685,5,715,2021-03-13
"35 - 39",20,790,8,818,2021-03-13
"40 - 44",27,1057,8,1092,2021-03-13
"45 - 49",57,1745,21,1823,2021-03-13
"50 - 54",90,2788,58,2936,2021-03-13
"55 - 59",127,3494,91,3712,2021-03-13
"60 - 64",142,3794,182,4118,2021-03-13
"65 - 69",161,3659,389,4209,2021-03-13
"70 - 74",218,4533,792,5543,2021-03-13
"75 - 79",207,4391,1323,5921,2021-03-13
"80 - 84",165,3776,1632,5573,2021-03-13
"85 - 89",86,2386,1287,3759,2021-03-13
">90",46,1025,519,1590,2021-03-13
