"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1149,6,1195,2021-05-18
"20 - 24",12,382,1,395,2021-05-18
"25 - 29",16,664,2,682,2021-05-18
"30 - 34",18,1001,10,1029,2021-05-18
"35 - 39",34,1154,10,1198,2021-05-18
"40 - 44",33,1497,11,1541,2021-05-18
"45 - 49",79,2529,24,2632,2021-05-18
"50 - 54",141,3957,71,4169,2021-05-18
"55 - 59",161,4922,122,5205,2021-05-18
"60 - 64",134,5049,221,5404,2021-05-18
"65 - 69",179,4978,479,5636,2021-05-18
"70 - 74",192,5968,1003,7163,2021-05-18
"75 - 79",188,5608,1675,7471,2021-05-18
"80 - 84",108,4408,1899,6415,2021-05-18
"85 - 89",55,2699,1421,4175,2021-05-18
">90",25,1177,591,1793,2021-05-18
