"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",44,1166,6,1216,2021-05-26
"20 - 24",7,405,2,414,2021-05-26
"25 - 29",19,682,2,703,2021-05-26
"30 - 34",16,1022,10,1048,2021-05-26
"35 - 39",24,1193,11,1228,2021-05-26
"40 - 44",31,1534,11,1576,2021-05-26
"45 - 49",70,2604,24,2698,2021-05-26
"50 - 54",95,4094,72,4261,2021-05-26
"55 - 59",124,5054,125,5303,2021-05-26
"60 - 64",90,5146,231,5467,2021-05-26
"65 - 69",103,5120,488,5711,2021-05-26
"70 - 74",137,6072,1026,7235,2021-05-26
"75 - 79",138,5686,1692,7516,2021-05-26
"80 - 84",89,4452,1917,6458,2021-05-26
"85 - 89",46,2726,1425,4197,2021-05-26
">90",19,1189,595,1803,2021-05-26
