"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,851,4,885,2021-03-11
"20 - 24",6,285,1,292,2021-03-11
"25 - 29",13,480,2,495,2021-03-11
"30 - 34",27,677,5,709,2021-03-11
"35 - 39",29,784,8,821,2021-03-11
"40 - 44",36,1047,8,1091,2021-03-11
"45 - 49",59,1731,21,1811,2021-03-11
"50 - 54",91,2770,57,2918,2021-03-11
"55 - 59",128,3466,91,3685,2021-03-11
"60 - 64",134,3763,181,4078,2021-03-11
"65 - 69",144,3630,387,4161,2021-03-11
"70 - 74",219,4504,788,5511,2021-03-11
"75 - 79",207,4360,1315,5882,2021-03-11
"80 - 84",169,3757,1623,5549,2021-03-11
"85 - 89",101,2370,1277,3748,2021-03-11
">90",35,1020,518,1573,2021-03-11
