"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1240,6,1280,2021-06-02
"20 - 24",2,413,3,418,2021-06-02
"25 - 29",14,700,2,716,2021-06-02
"30 - 34",14,1048,11,1073,2021-06-02
"35 - 39",24,1216,11,1251,2021-06-02
"40 - 44",28,1558,12,1598,2021-06-02
"45 - 49",49,2668,25,2742,2021-06-02
"50 - 54",81,4195,72,4348,2021-06-02
"55 - 59",93,5169,127,5389,2021-06-02
"60 - 64",67,5239,235,5541,2021-06-02
"65 - 69",82,5190,494,5766,2021-06-02
"70 - 74",97,6155,1036,7288,2021-06-02
"75 - 79",89,5765,1706,7560,2021-06-02
"80 - 84",89,4492,1931,6512,2021-06-02
"85 - 89",41,2747,1432,4220,2021-06-02
">90",21,1207,597,1825,2021-06-02
