"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1089,5,1130,2021-05-07
"20 - 24",9,363,1,373,2021-05-07
"25 - 29",21,639,2,662,2021-05-07
"30 - 34",35,931,9,975,2021-05-07
"35 - 39",47,1081,10,1138,2021-05-07
"40 - 44",55,1411,11,1477,2021-05-07
"45 - 49",81,2388,24,2493,2021-05-07
"50 - 54",137,3721,68,3926,2021-05-07
"55 - 59",174,4641,118,4933,2021-05-07
"60 - 64",175,4849,216,5240,2021-05-07
"65 - 69",209,4732,464,5405,2021-05-07
"70 - 74",246,5744,977,6967,2021-05-07
"75 - 79",240,5431,1643,7314,2021-05-07
"80 - 84",134,4333,1865,6332,2021-05-07
"85 - 89",64,2662,1404,4130,2021-05-07
">90",26,1150,583,1759,2021-05-07
