"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",21,754,4,779,2021-01-11
"20 - 24",3,236,0,239,2021-01-11
"25 - 29",15,396,3,414,2021-01-11
"30 - 34",17,534,3,554,2021-01-11
"35 - 39",32,637,9,678,2021-01-11
"40 - 44",30,829,5,864,2021-01-11
"45 - 49",54,1354,19,1427,2021-01-11
"50 - 54",91,2152,48,2291,2021-01-11
"55 - 59",113,2625,65,2803,2021-01-11
"60 - 64",164,2845,134,3143,2021-01-11
"65 - 69",178,2815,275,3268,2021-01-11
"70 - 74",300,3434,583,4317,2021-01-11
"75 - 79",312,3334,978,4624,2021-01-11
"80 - 84",303,2778,1205,4286,2021-01-11
"85 - 89",190,1755,960,2905,2021-01-11
">90",86,753,359,1198,2021-01-11
