"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1135,6,1178,2021-05-16
"20 - 24",14,376,1,391,2021-05-16
"25 - 29",20,656,2,678,2021-05-16
"30 - 34",28,982,10,1020,2021-05-16
"35 - 39",36,1145,10,1191,2021-05-16
"40 - 44",30,1482,11,1523,2021-05-16
"45 - 49",78,2494,24,2596,2021-05-16
"50 - 54",128,3910,70,4108,2021-05-16
"55 - 59",162,4863,122,5147,2021-05-16
"60 - 64",120,5017,220,5357,2021-05-16
"65 - 69",164,4929,477,5570,2021-05-16
"70 - 74",186,5929,1000,7115,2021-05-16
"75 - 79",187,5588,1669,7444,2021-05-16
"80 - 84",113,4395,1894,6402,2021-05-16
"85 - 89",56,2693,1418,4167,2021-05-16
">90",25,1168,589,1782,2021-05-16
