"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",43,1008,5,1056,2021-04-19
"20 - 24",10,332,1,343,2021-04-19
"25 - 29",25,589,2,616,2021-04-19
"30 - 34",27,839,9,875,2021-04-19
"35 - 39",35,978,9,1022,2021-04-19
"40 - 44",52,1282,10,1344,2021-04-19
"45 - 49",91,2131,23,2245,2021-04-19
"50 - 54",127,3380,64,3571,2021-04-19
"55 - 59",173,4207,108,4488,2021-04-19
"60 - 64",173,4494,209,4876,2021-04-19
"65 - 69",236,4302,430,4968,2021-04-19
"70 - 74",267,5307,920,6494,2021-04-19
"75 - 79",259,5050,1547,6856,2021-04-19
"80 - 84",128,4182,1806,6116,2021-04-19
"85 - 89",68,2597,1377,4042,2021-04-19
">90",25,1113,570,1708,2021-04-19
