"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,30,1552,148
2,158,3266,389
3,186,3955,557
4,116,4209,610
5,102,3752,675
6,82,3201,601
7,72,2578,521
8,60,2245,422
9,52,1764,373
10,47,1422,332
11,41,1175,246
12,29,1010,211
13,34,779,193
14,21,662,137
15,20,605,121
16,18,470,93
17,17,378,103
18,12,353,70
19,10,307,73
20,9,248,56
21,12,191,48
22,12,195,46
23,8,198,33
24,17,167,35
25,8,116,31
26,8,93,26
27,8,108,19
28,7,112,23
29,9,78,17
30,11,85,15
31,7,60,15
32,5,65,9
33,4,59,13
34,7,52,9
35,2,47,12
36,0,45,13
37,10,43,4
38,4,38,6
39,3,27,5
40,3,37,5
41,7,21,5
42,6,28,2
43,5,29,3
44,6,29,4
45,5,28,6
46,5,22,3
47,3,21,6
48,3,13,2
49,0,21,2
50,3,14,3
51,5,17,0
52,2,7,0
53,0,11,2
54,2,19,1
55,3,9,1
56,3,5,1
57,0,6,1
58,2,9,0
59,5,7,1
60,2,7,2
