"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,860,88
2,176,1748,219
3,163,1928,281
4,164,2049,317
5,130,1748,329
6,173,1511,289
7,86,1211,249
8,72,991,170
9,82,787,163
10,69,677,135
11,63,489,98
12,55,423,74
13,48,347,67
14,37,289,46
15,24,254,43
16,42,191,31
17,21,142,41
18,29,141,20
19,25,121,17
20,22,88,18
21,14,66,14
22,5,75,17
23,24,66,12
24,15,51,19
25,9,44,11
26,18,32,8
27,10,38,4
28,0,36,9
29,9,21,4
30,6,23,4
31,5,14,3
32,4,19,1
33,6,18,3
34,1,19,2
35,6,15,3
36,0,13,4
37,2,8,4
38,5,10,2
39,0,6,2
40,3,12,0
41,1,5,2
42,1,11,0
43,1,9,1
44,2,7,2
45,3,10,4
46,2,7,0
47,2,9,2
48,3,4,0
49,0,9,0
50,1,8,1
51,2,5,0
52,0,2,0
53,0,2,0
54,1,7,0
55,0,2,0
56,1,1,1
57,1,2,0
58,1,2,0
59,0,0,1
60,1,0,1
