"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,32,1215,117
2,165,2555,290
3,138,2888,398
4,143,3037,425
5,175,2640,464
6,131,2304,402
7,193,1807,372
8,102,1548,279
9,87,1185,248
10,77,1002,215
11,84,785,162
12,65,668,126
13,55,547,126
14,54,452,81
15,36,406,78
16,24,302,64
17,32,235,71
18,35,236,39
19,28,206,46
20,40,163,35
21,30,110,31
22,21,123,35
23,9,119,23
24,23,103,22
25,14,66,22
26,14,61,13
27,10,69,10
28,16,69,15
29,13,48,10
30,6,52,8
31,9,36,7
32,12,41,5
33,9,39,9
34,12,34,3
35,7,29,8
36,8,24,5
37,4,23,4
38,5,21,3
39,8,14,3
40,7,28,1
41,6,8,2
42,10,20,2
43,7,17,1
44,4,16,2
45,5,24,5
46,11,13,2
47,7,15,3
48,3,8,1
49,10,18,2
50,9,9,2
51,4,10,0
52,3,6,0
53,7,7,2
54,6,11,0
55,9,4,0
56,6,4,1
57,6,3,0
58,4,5,0
59,8,2,1
60,7,4,1
