"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,23,969,93
2,166,2029,240
3,146,2237,316
4,106,2388,343
5,121,2069,367
6,83,1790,324
7,59,1444,290
8,63,1204,203
9,67,940,195
10,49,810,164
11,44,611,124
12,51,515,87
13,37,434,91
14,15,354,53
15,30,304,55
16,31,239,45
17,25,179,48
18,29,173,28
19,24,161,25
20,17,114,25
21,6,83,25
22,13,84,22
23,12,84,15
24,18,62,20
25,13,50,13
26,28,47,11
27,11,50,4
28,12,47,12
29,14,31,4
30,12,30,4
31,11,21,4
32,15,30,1
33,13,27,5
34,10,23,2
35,3,23,6
36,12,17,4
37,9,13,4
38,15,13,2
39,16,9,2
40,8,12,0
41,9,7,1
42,5,15,1
43,8,11,1
44,5,7,2
45,4,11,4
46,9,11,1
47,3,8,2
48,0,4,0
49,4,13,1
50,2,9,2
51,2,5,0
52,3,6,0
53,4,3,0
54,0,8,0
55,3,4,0
56,0,1,1
57,2,4,0
58,3,1,0
59,0,0,1
60,3,0,1
