"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,23,934,92
2,119,1955,235
3,127,2154,308
4,132,2295,339
5,124,2001,355
6,117,1721,313
7,68,1374,281
8,49,1160,192
9,76,902,186
10,58,779,156
11,48,581,117
12,49,493,85
13,42,411,87
14,25,331,53
15,22,296,50
16,26,227,42
17,24,174,45
18,27,165,26
19,19,146,24
20,33,104,24
21,13,73,24
22,16,81,21
23,17,78,14
24,16,59,20
25,12,50,12
26,23,48,10
27,19,48,4
28,11,46,11
29,6,30,4
30,13,26,4
31,10,15,4
32,14,24,1
33,20,24,5
34,11,19,2
35,7,19,6
36,6,14,4
37,10,14,4
38,8,12,2
39,5,9,2
40,10,12,0
41,4,7,1
42,0,13,0
43,5,12,1
44,2,8,2
45,3,12,4
46,3,14,1
47,4,8,2
48,0,4,0
49,3,12,0
50,0,7,2
51,2,6,0
52,3,2,0
53,0,3,0
54,3,7,0
55,2,3,1
56,1,1,1
57,0,3,0
58,1,2,0
59,2,1,1
60,2,0,1
