"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,76,1171,118
2,234,2483,279
3,193,2761,379
4,178,2902,413
5,185,2511,446
6,152,2198,383
7,129,1723,357
8,123,1467,262
9,66,1141,237
10,65,964,203
11,71,742,147
12,63,639,114
13,53,529,121
14,56,426,73
15,45,372,74
16,28,290,63
17,18,226,65
18,39,226,37
19,17,199,42
20,24,152,33
21,24,106,29
22,20,117,34
23,18,116,22
24,13,93,22
25,14,67,22
26,14,56,13
27,16,67,9
28,15,70,15
29,16,47,8
30,9,47,7
31,7,32,7
32,10,36,5
33,12,35,9
34,10,32,3
35,7,29,8
36,11,24,6
37,9,23,4
38,5,22,3
39,4,15,3
40,10,27,1
41,8,8,2
42,8,21,2
43,15,17,1
44,10,15,2
45,6,20,5
46,8,14,2
47,12,15,3
48,8,5,0
49,9,15,2
50,13,11,2
51,10,8,0
52,4,4,0
53,10,4,2
54,10,12,0
55,4,4,0
56,4,5,1
57,7,3,0
58,3,4,0
59,1,3,1
60,8,5,1
