"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,28,1889,164
2,125,4170,439
3,111,5190,638
4,149,5385,703
5,118,4764,789
6,96,4062,692
7,98,3261,611
8,100,2810,508
9,63,2221,437
10,43,1803,383
11,57,1483,297
12,49,1239,243
13,68,952,231
14,25,812,164
15,41,726,146
16,21,582,112
17,25,459,125
18,32,432,85
19,23,378,82
20,13,295,71
21,13,224,50
22,22,243,54
23,8,235,36
24,17,189,39
25,8,134,35
26,11,113,28
27,10,126,23
28,11,137,30
29,8,99,20
30,4,100,15
31,7,70,17
32,7,79,12
33,5,70,16
34,4,56,13
35,6,57,13
36,1,52,13
37,10,49,6
38,7,41,5
39,4,31,6
40,7,43,8
41,5,29,6
42,1,31,2
43,5,30,3
44,2,31,4
45,3,30,6
46,2,27,3
47,2,26,9
48,0,16,2
49,5,24,2
50,1,16,3
51,1,21,1
52,1,9,0
53,1,12,2
54,2,20,1
55,0,12,2
56,0,11,1
57,2,8,1
58,1,10,0
59,0,9,1
60,1,6,1
