"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,48,1119,109
2,248,2383,270
3,164,2605,362
4,126,2768,390
5,175,2400,432
6,136,2109,370
7,113,1647,333
8,76,1407,243
9,93,1110,223
10,59,925,195
11,39,715,143
12,55,614,106
13,35,510,116
14,40,414,69
15,32,357,66
16,33,274,60
17,18,221,60
18,17,214,34
19,24,202,39
20,19,145,32
21,29,102,29
22,21,111,29
23,25,108,21
24,13,86,21
25,10,63,19
26,17,53,12
27,16,66,8
28,15,66,15
29,9,44,6
30,13,45,8
31,9,31,6
32,8,38,5
33,7,37,9
34,16,29,3
35,10,27,8
36,9,21,5
37,15,22,4
38,12,18,3
39,4,14,3
40,9,23,0
41,13,12,2
42,9,19,0
43,11,13,1
44,14,18,2
45,9,17,5
46,5,11,2
47,12,11,3
48,10,6,0
49,5,14,1
50,6,11,2
51,9,7,0
52,6,3,0
53,3,5,2
54,8,11,0
55,5,5,0
56,5,2,1
57,11,5,0
58,7,6,0
59,4,3,1
60,3,5,2
