"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,2048,172
2,3,4525,459
3,7,5698,652
4,8,5882,726
5,11,5224,810
6,5,4427,723
7,2,3541,637
8,4,3087,531
9,2,2422,454
10,1,2005,399
11,5,1640,309
12,0,1378,258
13,3,1042,247
14,1,895,180
15,3,805,153
16,2,640,121
17,1,526,128
18,1,463,95
19,1,411,93
20,2,327,74
21,1,257,58
22,1,274,61
23,0,258,41
24,0,211,41
25,2,148,36
26,3,131,32
27,1,146,24
28,2,152,32
29,0,113,21
30,1,113,16
31,1,80,17
32,0,84,14
33,0,74,17
34,1,69,16
35,0,69,13
36,2,60,13
37,0,56,6
38,4,44,6
39,3,36,7
40,3,54,9
41,2,35,6
42,0,37,2
43,0,33,3
44,0,37,4
45,2,33,6
46,0,30,3
47,0,24,9
48,1,18,2
49,2,28,2
50,0,20,3
51,0,22,1
52,0,11,0
53,2,15,3
54,0,20,2
55,3,13,2
56,2,11,1
57,2,12,1
58,1,12,0
59,0,10,1
60,1,6,1
