"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,845,88
2,169,1730,218
3,197,1904,278
4,166,2015,313
5,219,1717,322
6,103,1497,288
7,89,1194,248
8,107,974,168
9,92,775,160
10,78,661,134
11,66,483,98
12,58,416,73
13,46,344,67
14,31,280,45
15,49,241,43
16,25,189,31
17,31,138,41
18,29,138,20
19,27,120,17
20,14,91,18
21,8,62,14
22,23,76,17
23,14,66,12
24,12,49,18
25,19,40,11
26,13,35,8
27,2,35,3
28,9,36,9
29,6,21,4
30,8,22,4
31,5,15,3
32,6,16,1
33,1,18,3
34,7,21,2
35,0,14,3
36,2,14,4
37,6,8,4
38,0,9,2
39,3,6,2
40,1,12,1
41,1,6,1
42,1,10,0
43,2,10,1
44,2,7,2
45,2,9,4
46,2,8,0
47,3,9,2
48,0,3,0
49,1,9,0
50,2,9,1
51,0,4,0
52,0,2,0
53,1,2,0
54,0,8,0
55,1,1,0
56,1,1,1
57,2,3,0
58,0,1,0
59,1,0,1
60,1,0,1
