"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,14,1928,166
2,85,4265,442
3,120,5315,641
4,86,5515,707
5,76,4880,796
6,88,4129,703
7,90,3326,615
8,57,2883,515
9,49,2260,440
10,72,1852,386
11,51,1514,300
12,33,1278,246
13,37,971,233
14,33,837,169
15,25,749,149
16,17,589,113
17,19,475,125
18,19,443,87
19,32,385,87
20,8,296,72
21,17,228,50
22,9,250,54
23,12,243,37
24,15,195,39
25,13,136,35
26,8,118,28
27,8,131,23
28,11,141,30
29,3,104,20
30,7,102,15
31,8,71,17
32,9,79,12
33,7,69,16
34,7,59,13
35,6,56,13
36,4,52,13
37,6,54,6
38,7,40,5
39,4,30,6
40,4,41,8
41,4,31,6
42,1,32,2
43,8,31,3
44,6,33,4
45,4,33,6
46,5,27,3
47,5,24,9
48,1,16,2
49,3,24,2
50,1,17,3
51,3,21,1
52,2,12,0
53,1,13,2
54,0,19,1
55,4,11,2
56,1,11,1
57,1,9,1
58,2,9,0
59,1,9,1
60,2,7,1
