"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,28,1883,164
2,82,4163,437
3,135,5160,636
4,127,5373,700
5,114,4745,787
6,124,4041,692
7,115,3246,609
8,75,2799,507
9,49,2214,437
10,68,1795,382
11,60,1479,292
12,77,1230,243
13,26,951,230
14,46,810,164
15,22,726,146
16,28,585,111
17,32,453,124
18,23,432,84
19,14,376,82
20,15,296,71
21,23,219,50
22,10,241,54
23,18,235,36
24,8,186,39
25,11,134,35
26,10,113,28
27,10,127,23
28,10,133,30
29,4,100,20
30,8,100,15
31,8,70,17
32,5,80,12
33,4,68,16
34,7,58,13
35,1,56,13
36,10,52,13
37,7,50,6
38,7,41,5
39,7,31,6
40,5,42,7
41,1,28,6
42,5,31,2
43,2,30,3
44,4,31,4
45,2,30,6
46,2,28,3
47,0,23,9
48,5,17,2
49,4,23,2
50,1,17,3
51,2,20,1
52,3,9,0
53,3,13,2
54,0,20,1
55,0,11,2
56,3,11,1
57,1,9,1
58,0,10,0
59,1,9,1
60,3,7,1
