"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,36,953,92
2,179,2003,238
3,119,2207,314
4,97,2346,340
5,101,2034,360
6,105,1760,318
7,78,1412,287
8,71,1179,196
9,74,922,192
10,45,790,160
11,31,598,121
12,50,501,86
13,40,427,89
14,31,334,53
15,40,298,54
16,34,230,44
17,22,177,47
18,16,168,28
19,20,156,24
20,18,107,25
21,22,78,25
22,14,81,21
23,31,79,14
24,13,62,20
25,14,48,13
26,15,45,11
27,16,49,4
28,12,46,11
29,18,33,4
30,16,29,4
31,10,20,4
32,5,26,1
33,14,24,5
34,11,19,2
35,15,21,6
36,17,14,4
37,9,14,4
38,7,12,2
39,7,9,2
40,9,13,0
41,7,6,1
42,5,13,0
43,11,11,1
44,4,8,2
45,0,11,4
46,5,12,1
47,2,9,2
48,2,4,0
49,3,15,0
50,4,7,2
51,0,6,0
52,3,3,0
53,1,3,0
54,2,8,0
55,3,3,0
56,0,1,1
57,3,3,0
58,2,1,1
59,1,0,1
60,0,0,1
