"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,12,1960,167
2,46,4341,446
3,78,5479,645
4,89,5629,714
5,76,4992,801
6,71,4234,712
7,65,3383,624
8,44,2945,523
9,40,2317,444
10,41,1896,391
11,30,1551,302
12,24,1306,249
13,29,983,234
14,29,856,172
15,14,765,150
16,20,599,116
17,16,487,125
18,25,453,89
19,7,392,89
20,15,311,72
21,11,236,51
22,9,258,55
23,4,247,38
24,10,196,40
25,9,141,35
26,16,120,28
27,5,134,23
28,6,144,30
29,3,104,20
30,8,106,16
31,8,73,17
32,12,80,13
33,3,70,17
34,3,60,14
35,8,55,13
36,2,53,13
37,4,52,6
38,6,41,6
39,9,30,6
40,4,43,8
41,6,31,6
42,5,31,2
43,4,32,3
44,5,34,4
45,5,30,6
46,3,28,3
47,2,23,9
48,5,22,2
49,1,24,2
50,7,22,3
51,4,21,1
52,3,12,0
53,3,13,2
54,4,19,1
55,0,11,2
56,3,11,1
57,1,8,1
58,1,9,0
59,1,11,1
60,1,7,1
