"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,34,1544,148
2,125,3242,387
3,117,3925,557
4,126,4163,608
5,119,3714,672
6,95,3165,594
7,97,2542,517
8,84,2218,420
9,56,1739,369
10,42,1420,331
11,55,1167,244
12,35,1001,208
13,26,768,192
14,32,658,136
15,32,597,120
16,17,459,92
17,14,374,103
18,16,354,70
19,18,302,73
20,12,247,56
21,9,186,48
22,18,197,46
23,9,198,33
24,8,164,36
25,8,115,31
26,7,94,26
27,9,108,17
28,12,113,23
29,7,78,17
30,5,85,15
31,6,59,15
32,9,62,9
33,2,56,12
34,0,52,9
35,11,48,12
36,4,48,14
37,3,41,4
38,3,37,5
39,7,27,5
40,6,37,5
41,6,21,5
42,6,28,2
43,5,30,3
44,5,26,3
45,3,28,6
46,3,22,3
47,1,20,6
48,3,14,2
49,5,23,2
50,2,12,3
51,0,17,0
52,3,11,0
53,2,9,2
54,3,17,1
55,0,8,2
56,2,6,1
57,5,8,0
58,2,9,1
59,0,6,1
60,0,7,1
