"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,2025,170
2,22,4481,459
3,35,5662,650
4,14,5840,723
5,18,5178,805
6,18,4388,721
7,11,3502,634
8,5,3061,530
9,14,2411,453
10,5,1989,398
11,9,1618,308
12,5,1363,254
13,11,1025,244
14,12,887,180
15,12,801,151
16,8,631,120
17,2,518,128
18,2,461,94
19,2,405,91
20,7,326,74
21,6,255,56
22,2,270,61
23,4,257,40
24,6,207,40
25,3,145,36
26,2,127,31
27,2,146,24
28,8,153,31
29,2,111,21
30,8,109,16
31,2,76,17
32,3,83,14
33,5,72,17
34,1,66,16
35,4,66,14
36,0,58,13
37,4,55,6
38,2,42,6
39,2,34,7
40,4,52,8
41,4,34,6
42,4,37,2
43,1,31,3
44,5,36,4
45,2,34,6
46,3,29,3
47,1,25,9
48,3,19,2
49,3,26,2
50,6,21,3
51,2,20,1
52,3,11,0
53,1,13,3
54,5,22,2
55,2,13,2
56,5,14,1
57,1,9,1
58,2,13,0
59,2,9,1
60,2,9,1
