"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,28,1690,155
2,178,3627,410
3,186,4491,601
4,168,4732,657
5,158,4169,734
6,97,3573,653
7,71,2866,567
8,61,2485,463
9,64,1963,402
10,52,1584,354
11,52,1301,266
12,38,1113,225
13,51,859,217
14,34,730,150
15,22,649,133
16,20,514,100
17,20,419,114
18,17,386,78
19,20,338,77
20,20,278,63
21,7,207,50
22,7,214,51
23,8,215,36
24,8,175,37
25,9,128,31
26,5,103,27
27,13,112,20
28,2,120,26
29,2,84,18
30,4,86,15
31,9,63,17
32,4,69,11
33,0,60,15
34,1,54,11
35,4,50,13
36,4,47,13
37,7,46,4
38,4,40,5
39,3,30,5
40,0,38,6
41,4,26,5
42,4,31,2
43,3,30,3
44,2,29,4
45,3,27,6
46,3,24,4
47,1,21,7
48,4,17,2
49,3,22,2
50,2,15,3
51,4,19,1
52,2,10,0
53,3,13,2
54,3,20,1
55,0,9,1
56,0,9,1
57,1,7,0
58,2,9,0
59,2,10,1
60,2,8,1
