"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,39,1622,153
2,141,3429,399
3,120,4213,584
4,189,4451,626
5,148,3954,704
6,141,3369,627
7,99,2703,542
8,114,2343,438
9,64,1847,384
10,47,1500,345
11,45,1231,257
12,42,1057,219
13,27,815,201
14,31,695,145
15,28,630,125
16,24,490,95
17,15,392,108
18,13,370,75
19,17,322,74
20,15,258,57
21,6,197,48
22,7,204,48
23,10,204,35
24,9,167,35
25,8,124,31
26,8,98,27
27,5,112,18
28,2,117,25
29,5,79,18
30,5,85,15
31,7,63,16
32,5,68,10
33,7,60,14
34,6,52,9
35,4,50,13
36,8,45,13
37,7,42,4
38,5,37,5
39,8,30,6
40,3,36,6
41,5,24,5
42,8,31,2
43,6,31,3
44,2,29,4
45,1,26,6
46,2,22,3
47,3,22,7
48,1,16,2
49,6,22,2
50,3,18,3
51,2,16,0
52,3,10,0
53,1,10,2
54,2,19,1
55,3,8,1
56,4,9,1
57,3,10,0
58,0,10,0
59,2,10,1
60,3,7,1
