"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,33,1188,116
2,209,2518,282
3,334,2779,387
4,184,2937,415
5,163,2562,451
6,136,2229,390
7,134,1751,365
8,121,1495,269
9,91,1152,238
10,82,971,205
11,55,757,154
12,40,657,117
13,53,539,123
14,54,437,75
15,43,386,74
16,46,297,63
17,37,230,69
18,24,232,38
19,11,203,43
20,29,160,34
21,17,107,30
22,23,117,34
23,20,115,22
24,18,95,22
25,18,67,22
26,9,60,13
27,12,69,9
28,13,68,15
29,14,47,10
30,16,52,8
31,11,32,7
32,9,40,5
33,5,37,9
34,8,30,3
35,10,27,8
36,9,24,5
37,5,23,4
38,10,20,4
39,8,15,3
40,5,27,1
41,5,11,2
42,12,21,1
43,9,16,1
44,7,16,3
45,15,22,5
46,10,12,2
47,4,14,3
48,7,9,0
49,11,18,2
50,8,8,2
51,10,9,0
52,10,6,0
53,9,4,2
54,4,11,0
55,10,4,0
56,9,3,1
57,4,3,0
58,4,6,0
59,7,2,1
60,3,4,1
