"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,20,1465,144
2,139,3062,379
3,125,3699,533
4,113,3938,578
5,96,3513,631
6,119,3010,565
7,55,2395,488
8,43,2104,395
9,52,1644,352
10,54,1347,309
11,43,1089,232
12,32,944,198
13,36,743,183
14,25,618,130
15,22,565,112
16,25,438,88
17,17,356,99
18,10,337,66
19,17,286,66
20,18,230,53
21,7,177,48
22,13,192,44
23,10,188,31
24,9,153,34
25,9,103,27
26,6,86,24
27,8,102,16
28,11,106,21
29,6,75,16
30,11,76,15
31,5,58,13
32,3,59,6
33,6,56,11
34,4,50,9
35,2,47,11
36,3,46,10
37,4,39,4
38,5,28,4
39,0,25,6
40,5,34,5
41,4,19,3
42,4,26,3
43,4,28,4
44,4,23,3
45,7,26,6
46,2,21,2
47,4,21,6
48,6,14,2
49,0,21,2
50,5,14,3
51,3,14,0
52,2,7,0
53,5,9,2
54,2,15,1
55,2,10,1
56,4,5,1
57,3,6,0
58,2,8,0
59,1,6,2
60,4,8,1
