"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,47,1144,114
2,203,2430,276
3,226,2692,371
4,187,2830,400
5,178,2461,438
6,96,2163,373
7,79,1703,345
8,107,1442,249
9,84,1124,229
10,64,940,197
11,60,731,144
12,58,626,108
13,39,522,119
14,24,421,71
15,46,367,66
16,21,283,61
17,34,225,61
18,25,219,35
19,22,197,39
20,20,151,33
21,16,109,29
22,16,114,31
23,20,110,21
24,22,91,21
25,17,65,20
26,23,57,13
27,9,65,8
28,10,66,15
29,13,46,7
30,13,45,7
31,12,32,6
32,8,37,5
33,12,36,10
34,9,31,3
35,6,29,8
36,4,25,5
37,11,24,4
38,9,20,3
39,8,14,4
40,14,22,1
41,11,8,2
42,5,21,0
43,9,17,1
44,12,18,2
45,8,19,5
46,10,10,2
47,13,13,3
48,9,4,0
49,4,15,1
50,11,9,2
51,11,9,0
52,5,3,0
53,6,7,2
54,8,11,0
55,6,5,0
56,3,3,1
57,8,4,0
58,5,4,0
59,5,2,1
60,12,5,1
