"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,20,1368,134
2,124,2853,355
3,122,3420,491
4,121,3617,528
5,108,3200,573
6,115,2771,516
7,71,2175,439
8,47,1915,358
9,64,1496,319
10,49,1230,285
11,44,979,200
12,39,857,175
13,31,675,165
14,31,551,111
15,23,516,98
16,30,399,80
17,21,319,89
18,16,310,50
19,23,260,62
20,24,209,47
21,12,159,43
22,7,164,40
23,14,161,30
24,15,136,30
25,16,95,25
26,12,76,20
27,15,93,13
28,11,92,22
29,13,64,14
30,13,73,14
31,17,51,10
32,12,49,6
33,17,52,11
34,11,46,7
35,8,42,10
36,5,34,8
37,8,31,4
38,6,30,3
39,8,25,4
40,4,32,3
41,8,12,3
42,3,23,2
43,3,22,3
44,3,21,3
45,5,24,5
46,3,18,1
47,4,17,5
48,5,11,0
49,3,20,2
50,2,11,3
51,3,12,0
52,12,5,0
53,7,5,2
54,9,16,1
55,7,7,1
56,6,4,1
57,1,5,0
58,7,9,0
59,4,5,1
60,1,5,1
