"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,2034,172
2,18,4508,459
3,13,5681,651
4,11,5861,725
5,9,5194,806
6,8,4401,721
7,18,3521,636
8,15,3073,530
9,3,2414,453
10,11,1993,398
11,5,1627,309
12,4,1366,256
13,4,1035,244
14,4,890,180
15,2,801,152
16,4,635,120
17,3,520,128
18,6,464,94
19,2,407,92
20,6,324,74
21,6,255,58
22,3,273,61
23,4,257,40
24,1,209,41
25,0,148,36
26,1,129,31
27,4,145,24
28,3,150,32
29,1,113,21
30,3,114,16
31,5,78,17
32,1,82,14
33,3,73,17
34,1,68,16
35,5,69,13
36,1,58,13
37,5,55,6
38,3,42,6
39,2,37,7
40,4,56,8
41,0,34,6
42,4,35,3
43,0,32,3
44,3,36,4
45,1,33,6
46,1,28,3
47,3,24,9
48,4,19,2
49,3,29,2
50,1,21,3
51,4,22,1
52,2,12,0
53,3,13,3
54,1,20,2
55,3,14,2
56,3,11,1
57,6,10,1
58,2,11,0
59,3,9,1
60,1,6,1
